iter	Passed	Remaining
403	9665	14259
404	9689	14234
405	9712	14209
406	9732	14179
407	9755	14154
408	9778	14129
409	9800	14102
410	9824	14078
411	9846	14052
412	9869	14027
413	9893	14003
414	9913	13974
415	9934	13946
416	9961	13926
417	9987	13905
418	10016	13889
419	10048	13876
420	10075	13856
421	10100	13834
422	10124	13810
423	10150	13789
424	10173	13763
425	10198	13742
426	10220	13715
427	10244	13691
428	10268	13666
429	10293	13644
430	10316	13619
431	10341	13596
432	10363	13570
433	10387	13547
434	10412	13524
435	10440	13506
436	10464	13482
437	10489	13458
438	10516	13438
439	10541	13416
440	10564	13391
441	10586	13365
442	10610	13341
443	10635	13318
444	10658	13293
445	10684	13271
446	10708	13248
447	10735	13227
448	10760	13204
449	10782	13178
450	10808	13157
451	10831	13132
452	10855	13108
453	10879	13084
454	10902	13058
455	10925	13033
456	10948	13008
457	10974	12987
458	11000	12965
459	11024	12941
460	11046	12915
461	11071	12892
462	11098	12872
463	11123	12849
464	11147	12825
465	11169	12799
466	11197	12779
467	11220	12755
468	11243	12730
469	11265	12703
470	11287	12678
471	11314	12656
472	11340	12635
473	11362	12609
474	11385	12584
475	11406	12556
476	11429	12531
477	11455	12509
478	11477	12483
479	11498	12456
480	11522	12433
481	11544	12406
482	11567	12382
483	11591	12358
484	11619	12338
485	11642	12313
486	11668	12291
487	11691	12266
488	11717	12244
489	11738	12218
490	11761	12192
491	11782	12165
492	11804	12139
493	11825	12113
494	11852	12091
495	11874	12066
496	11896	12040
497	11918	12013
498	11941	11988
499	11968	11968
500	11991	11943
501	12014	11918
502	12037	11893
503	12060	11869
504	12082	11843
505	12104	11817
506	12129	11794
507	12150	11767
508	12171	11741
509	12194	11716
510	12218	11692
511	12241	11667
512	12264	11642
513	12287	11618
514	12310	11593
515	12333	11569
516	12359	11546
517	12382	11522
518	12407	11498
519	12432	11475
520	12462	11458
521	12486	11434
522	12509	11409
523	12535	11386
524	12561	11365
525	12585	11341
526	12610	11318
527	12635	11295
528	12659	11271
529	12685	11249
530	12712	11227
531	12737	11204
532	12761	11181
533	12791	11162
534	12817	11140
535	12843	11118
536	12870	11096
537	12894	11072
538	12920	11050
539	12945	11027
540	12979	11011
541	13007	10991
542	13034	10969
543	13057	10945
544	13080	10920
545	13104	10896
546	13129	10873
547	13151	10847
548	13176	10824
549	13201	10801
550	13229	10780
551	13257	10759
552	13281	10735
553	13304	10711
554	13331	10689
555	13355	10664
556	13377	10639
557	13399	10613
558	13426	10592
559	13450	10568
560	13472	10542
561	13496	10518
562	13523	10497
563	13548	10473
564	13570	10448
565	13594	10424
566	13617	10399
567	13643	10376
568	13671	10356
569	13697	10333
570	13719	10307
571	13743	10283
572	13766	10259
573	13791	10235
574	13817	10213
575	13843	10190
576	13870	10168
577	13899	10147
578	13923	10123
579	13965	10113
580	13992	10091
581	14017	10067
582	14061	10057
583	14091	10037
584	14118	10015
585	14143	9991
586	14169	9969
587	14199	9948
588	14227	9927
589	14253	9905
590	14279	9881
591	14305	9859
592	14329	9834
593	14351	9809
594	14376	9785
595	14403	9763
596	14429	9740
597	14452	9715
598	14475	9690
599	14504	9669
600	14528	9645
601	14555	9623
602	14582	9600
603	14608	9577
604	14631	9552
605	14660	9531
606	14685	9508
607	14709	9483
608	14733	9459
609	14758	9435
610	14781	9410
611	14805	9386
612	14833	9364
613	14858	9340
614	14881	9316
615	14906	9292
616	14928	9266
617	14956	9244
618	14977	9219
619	15005	9196
620	15028	9172
621	15051	9147
622	15078	9124
623	15100	9099
624	15125	9075
625	15150	9051
626	15174	9027
627	15197	9002
628	15221	8978
629	15247	8954
630	15268	8928
631	15291	8903
632	15313	8878
633	15336	8853
634	15360	8829
635	15383	8804
636	15407	8779
637	15429	8754
638	15454	8730
639	15478	8706
640	15501	8681
641	15527	8658
642	15549	8633
643	15572	8608
644	15595	8583
645	15618	8558
646	15642	8534
647	15663	8508
648	15685	8483
649	15708	8458
650	15732	8433
651	15755	8409
652	15777	8384
653	15798	8358
654	15818	8332
655	15838	8305
656	15859	8279
657	15884	8256
658	15907	8231
659	15935	8209
660	15959	8184
661	15985	8161
662	16010	8137
663	16032	8112
664	16054	8087
665	16077	8062
666	16099	8037
667	16120	8012
668	16143	7987
669	16166	7962
670	16192	7939
671	16215	7914
672	16240	7890
673	16263	7866
674	16287	7842
675	16309	7816
676	16332	7792
677	16354	7767
678	16376	7742
679	16400	7717
680	16421	7692
681	16444	7667
682	16468	7643
683	16489	7618
684	16516	7595
685	16542	7571
686	16566	7547
687	16588	7522
688	16610	7497
689	16635	7473
690	16657	7448
691	16682	7425
692	16708	7401
693	16729	7376
694	16752	7351
695	16777	7327
696	16800	7303
697	16821	7278
698	16844	7253
699	16866	7228
700	16889	7203
701	16915	7180
702	16938	7156
703	16961	7131
704	16987	7108
705	17010	7083
706	17032	7058
707	17053	7033
708	17075	7008
709	17098	6983
710	17121	6959
711	17143	6934
712	17164	6908
713	17184	6883
714	17207	6858
715	17228	6833
716	17249	6808
717	17272	6783
718	17294	6759
719	17316	6734
720	17342	6710
721	17366	6686
722	17391	6663
723	17414	6638
724	17435	6613
725	17459	6589
726	17495	6569
727	17518	6545
728	17541	6520
729	17564	6496
730	17586	6471
731	17609	6447
732	17632	6422
733	17654	6397
734	17677	6373
735	17701	6349
736	17728	6326
737	17748	6301
738	17771	6276
739	17793	6251
740	17811	6225
741	17833	6200
742	17854	6175
743	17878	6151
744	17902	6127
745	17925	6103
746	17953	6080
747	17976	6056
748	18002	6032
749	18026	6008
750	18052	5985
751	18075	5961
752	18098	5936
753	18121	5912
754	18143	5887
755	18165	5863
756	18187	5838
757	18211	5814
758	18235	5790
759	18257	5765
760	18279	5740
761	18302	5716
762	18323	5691
763	18344	5666
764	18366	5641
765	18388	5617
766	18414	5593
767	18440	5570
768	18465	5546
769	18486	5521
770	18508	5497
771	18532	5473
772	18555	5449
773	18575	5423
774	18597	5399
775	18621	5375
776	18649	5352
777	18671	5327
778	18691	5302
779	18712	5277
780	18735	5253
781	18757	5228
782	18780	5204
783	18802	5180
784	18825	5156
785	18846	5131
786	18867	5106
787	18903	5085
788	18924	5060
789	18948	5036
790	18970	5012
791	18990	4987
792	19012	4962
793	19034	4938
794	19058	4914
795	19080	4889
796	19100	4865
797	19125	4841
798	19146	4816
799	19169	4792
800	19193	4768
801	19215	4744
802	19238	4719
803	19261	4695
804	19283	4671
805	19307	4647
806	19329	4622
807	19351	4598
808	19377	4574
809	19403	4551
810	19425	4527
811	19448	4502
812	19471	4478
813	19492	4454
814	19518	4430
815	19544	4407
816	19571	4383
817	19597	4360
818	19622	4336
819	19646	4312
820	19670	4288
821	19693	4264
822	19717	4240
823	19744	4217
824	19769	4193
825	19796	4170
826	19820	4146
827	19845	4122
828	19869	4098
829	19895	4075
830	19919	4051
831	19942	4026
832	19964	4002
833	19987	3978
834	20010	3954
835	20047	3932
836	20068	3908
837	20091	3883
838	20111	3859
839	20133	3834
840	20155	3810
841	20179	3786
842	20201	3762
843	20225	3738
844	20245	3713
845	20269	3689
846	20292	3665
847	20316	3641
848	20339	3617
849	20362	3593
850	20386	3569
851	20410	3545
852	20433	3521
853	20457	3497
854	20483	3473
855	20505	3449
856	20527	3425
857	20549	3401
858	20571	3376
859	20595	3352
860	20619	3328
861	20639	3304
862	20663	3280
863	20683	3255
864	20707	3231
865	20728	3207
866	20751	3183
867	20775	3159
868	20799	3135
869	20826	3111
870	20850	3088
871	20874	3064
872	20897	3040
873	20919	3015
874	20941	2991
875	20965	2967
876	20988	2943
877	21011	2919
878	21037	2895
879	21058	2871
880	21080	2847
881	21103	2823
882	21124	2799
883	21145	2774
884	21171	2751
885	21197	2727
886	21218	2703
887	21239	2678
888	21261	2654
889	21286	2630
890	21311	2607
891	21335	2583
892	21359	2559
893	21385	2535
894	21411	2512
895	21438	2488
896	21464	2464
897	21487	2440
898	21511	2416
899	21534	2392
900	21557	2368
901	21580	2344
902	21602	2320
903	21623	2296
904	21641	2271
905	21665	2247
906	21691	2224
907	21712	2199
908	21736	2176
909	21762	2152
910	21782	2128
911	21804	2103
912	21826	2079
913	21848	2055
914	21872	2031
915	21897	2008
916	21919	1983
917	21941	1959
918	21963	1935
919	21986	1911
920	22010	1887
921	22032	1863
922	22055	1839
923	22079	1816
924	22101	1791
925	22125	1768
926	22149	1744
927	22173	1720
928	22198	1696
929	22222	1672
930	22248	1648
931	22271	1624
932	22293	1600
933	22314	1576
934	22340	1553
935	22362	1529
936	22384	1505
937	22407	1481
938	22429	1457
939	22450	1433
940	22472	1408
941	22492	1384
942	22515	1360
943	22536	1336
944	22559	1313
945	22583	1289
946	22605	1265
947	22626	1241
948	22648	1217
949	22670	1193
950	22692	1169
951	22716	1145
952	22738	1121
953	22759	1097
954	22782	1073
955	22803	1049
956	22825	1025
957	22851	1001
958	22874	977
959	22898	954
960	22925	930
961	22949	906
962	22973	882
963	22998	858
964	23021	834
965	23043	811
966	23064	787
967	23085	763
968	23108	739
969	23131	715
970	23152	691
971	23177	667
972	23198	643
973	23223	619
974	23246	596
975	23268	572
976	23289	548
977	23311	524
978	23337	500
979	23361	476
980	23382	452
981	23405	429
982	23426	405
983	23452	381
984	23475	357
985	23500	333
986	23528	309
987	23552	286
988	23574	262
989	23599	238
990	23627	214
991	23650	190
992	23672	166
993	23699	143
994	23722	119
995	23743	95
996	23765	71
997	23786	47
998	23809	23
999	23832	0
