iter	Logloss
0	0.6163068685
1	0.5534487663
2	0.5024843517
3	0.4629221562
4	0.4305805818
5	0.4011582197
6	0.3808504923
7	0.360615014
8	0.3417730571
9	0.3293923888
10	0.3187077471
11	0.3063960804
12	0.297276477
13	0.2897055256
14	0.2837059114
15	0.2776662079
16	0.2721026426
17	0.2666828512
18	0.2618060456
19	0.256378328
20	0.2480305715
21	0.2445142678
22	0.2399785845
23	0.2371145522
24	0.2330823655
25	0.2267277025
26	0.223335166
27	0.221475979
28	0.2199114565
29	0.2181582057
30	0.2159788197
31	0.2142424419
32	0.2122073167
33	0.2102485022
34	0.2059650021
35	0.2046195963
36	0.2031453571
37	0.2020520206
38	0.1993151606
39	0.1973722599
40	0.1961411429
41	0.1950710425
42	0.1921058792
43	0.1909149599
44	0.189643897
45	0.1882387192
46	0.1872042934
47	0.1863278516
48	0.1845861382
49	0.1834621835
50	0.1812628146
51	0.1799678391
52	0.1772522306
53	0.1765529344
54	0.17526487
55	0.1744409301
56	0.1736629003
57	0.172951702
58	0.1720307967
59	0.171519923
60	0.1699350643
61	0.1688921705
62	0.1682682326
63	0.1677588945
64	0.165004254
65	0.163111057
66	0.1625995943
67	0.1621975126
68	0.1611793368
69	0.1594469608
70	0.1588967282
71	0.1584025577
72	0.1579655752
73	0.1564300974
74	0.1552015175
75	0.1542325624
76	0.1536895517
77	0.1532095651
78	0.1524102971
79	0.1507080442
80	0.1500250212
81	0.1493214839
82	0.1484695942
83	0.1481001985
84	0.1476790404
85	0.1474058704
86	0.1464899748
87	0.1453211859
88	0.1449051032
89	0.1445559552
90	0.144109537
91	0.143328542
92	0.1430308135
93	0.1417099258
94	0.1413334373
95	0.141032951
96	0.14077372
97	0.1405536894
98	0.1400376009
99	0.1397535185
100	0.1395331604
101	0.1393207805
102	0.139063483
103	0.1387268453
104	0.138366374
105	0.1380832507
106	0.1378639598
107	0.1375793634
108	0.1372716033
109	0.1369415829
110	0.1363691542
111	0.1359894247
112	0.1354910288
113	0.1352108873
114	0.1349825764
115	0.1347123829
116	0.134170702
117	0.1336493407
118	0.1333515398
119	0.1331909714
120	0.132917587
121	0.13254391
122	0.1323033973
123	0.1320300945
124	0.1318067045
125	0.1315037368
126	0.1305826038
127	0.1302585221
128	0.1300746982
129	0.1286446711
130	0.1283558917
131	0.1277169218
132	0.1274635922
133	0.1269052295
134	0.1266624725
135	0.1265130286
136	0.125699857
137	0.1255167069
138	0.1252305592
139	0.1249882824
140	0.1248204166
141	0.1246688689
142	0.1244600218
143	0.124234654
144	0.1240417238
145	0.1235890093
146	0.1233623251
147	0.1229674687
148	0.1220437939
149	0.1215972931
150	0.121421934
151	0.1211902551
152	0.1210212866
153	0.1208571753
154	0.1203159375
155	0.120103575
156	0.1199092575
